"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 08 21:52:42 IST 2020","Sun Nov 08 21:52:48 IST 2020","5286","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Packages as Power Seats","When I select Packages as Power Seats",""
"passed","Sun Nov 08 21:50:28 IST 2020","Sun Nov 08 21:50:38 IST 2020","9939","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select a ""Mild hybrids"" ""V60"" car model","When I select a ""Mild hybrids"" ""V60"" car model",""
"passed","Sun Nov 08 21:52:15 IST 2020","Sun Nov 08 21:52:21 IST 2020","6216","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Shop"" to buy car","When I select ""Shop"" to buy car",""
"passed","Sun Nov 08 21:50:02 IST 2020","Sun Nov 08 21:50:02 IST 2020","201","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""side navigator"" section should fly out","Then ""side navigator"" section should fly out",""
"passed","Sun Nov 08 21:41:03 IST 2020","Sun Nov 08 21:41:05 IST 2020","2434","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Optional Equipment as Four-zone climate system","When I select Optional Equipment as Four-zone climate system",""
"passed","Sun Nov 08 21:43:09 IST 2020","Sun Nov 08 21:43:27 IST 2020","18315","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Given I am on the volvo home page","Given I am on the volvo home page",""
"passed","Sun Nov 08 21:43:27 IST 2020","Sun Nov 08 21:43:29 IST 2020","1357","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:52:50 IST 2020","Sun Nov 08 21:52:53 IST 2020","2483","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Then I click on Summary","Then I click on Summary",""
"passed","Sun Nov 08 21:43:09 IST 2020","Sun Nov 08 21:43:29 IST 2020","19866","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Given I am on the volvo home page","Given I am on the volvo home page",""
"passed","Sun Nov 08 21:50:26 IST 2020","Sun Nov 08 21:50:28 IST 2020","2033","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:41:33 IST 2020","Sun Nov 08 21:41:34 IST 2020","500","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""Cars"" section should fly out","Then ""Cars"" section should fly out",""
"passed","Sun Nov 08 21:51:33 IST 2020","Sun Nov 08 21:52:00 IST 2020","27034","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Given I am on the volvo home page","Given I am on the volvo home page",""
"passed","Sun Nov 08 21:40:24 IST 2020","Sun Nov 08 21:40:24 IST 2020","163","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""side navigator"" section should fly out","Then ""side navigator"" section should fly out",""
"passed","Sun Nov 08 21:40:21 IST 2020","Sun Nov 08 21:40:21 IST 2020","392","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I click on ""Mild hybrids"" car type","When I click on ""Mild hybrids"" car type",""
"passed","Sun Nov 08 21:43:36 IST 2020","Sun Nov 08 21:43:42 IST 2020","6718","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Shop"" to buy car","When I select ""Shop"" to buy car",""
"passed","Sun Nov 08 21:40:09 IST 2020","Sun Nov 08 21:40:22 IST 2020","12485","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Given I am on the volvo home page","Given I am on the volvo home page",""
"passed","Sun Nov 08 21:43:31 IST 2020","Sun Nov 08 21:43:33 IST 2020","1784","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:50:14 IST 2020","Sun Nov 08 21:50:26 IST 2020","11492","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Given I am on the volvo home page","Given I am on the volvo home page",""
